dcterms:identifier,dcterms:title,dcterms:created,dcterms:license
2,capture,0000-00-00 00:00:00,
32,Tests-Ressources,2013-09-24 14:57:13,
26,monostiches,2013-08-06 14:11:30,by_nd
33,Herbier,2013-10-03 10:54:34,
31,Corneille-2013,2013-09-21 18:07:05,
37,Poétiques,2013-10-15 11:25:30,by
41,Carolingiens,2014-02-05 15:19:41,
42,Monstrueux Monstres,2014-10-10 06:59:31,
43,L'Esprit Humain,2014-11-10 23:02:16,
44,Lozère,2014-12-22 18:02:37,
47,HerbierFrançais,2015-02-10 14:34:36,
49,Barbe Bleue,2015-02-20 16:49:45,
50,Faust,2015-02-28 16:52:26,
51,Un roman inachevé,2015-03-11 18:07:54,
52,Un Monde Incertain,2015-04-08 18:18:23,
54,JoeBousquet,2016-07-02 18:19:32,
56,K-gen,2016-11-09 09:55:44,
66,bidule,2022-12-26 10:51:24,CC0
