o:id,genex:hasDico ^^resource
9,43
9,45
9,47
9,58
11,27
11,28
11,29
11,30
11,36
11,37
11,50
13,27
13,28
13,29
13,30
13,36
13,37
13,52
10,27
10,28
10,29
10,30
10,36
10,37
10,53
12,29
12,31
12,32
12,33
12,34
12,35
12,54
14,27
14,28
14,29
14,30
14,36
14,37
14,55
15,27
15,28
15,29
15,30
15,36
15,37
15,60
16,27
16,28
16,29
16,30
16,36
16,37
16,61
17,27
17,28
17,29
17,30
17,36
17,37
17,62
18,27
18,28
18,29
18,30
18,36
18,37
18,63
19,27
19,28
19,29
19,30
19,36
19,37
19,64
20,27
20,28
20,29
20,30
20,36
20,37
20,65
21,27
21,28
21,29
21,30
21,36
21,37
21,66
22,27
22,28
22,29
22,30
22,36
22,37
22,67
23,27
23,28
23,29
23,30
23,36
23,37
23,68
24,27
24,28
24,29
24,30
24,36
24,37
24,70
25,27
25,28
25,29
25,30
25,36
25,37
25,71
26,27
26,28
26,29
26,30
26,36
26,37
26,72
